"","GSM2233086","GSM2233087","GSM2233088","GSM2233089","GSM2233090","GSM2233091","GSM2233092","GSM2233093","GSM2233094","GSM2233095","GSM2233096","GSM2233097","GSM2233098","GSM2233099","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"1552660_a_at",19.4,54.7,70,19.1,58.6,18.6,53.3,36.7,87.9,17.9,30.4,12.9,119.1,32.6,102.3,51.4,37.2,18.3,70.4,41.7,119.5,43.7,30.9,13.9,24.7,7.2,20.1,27.3
"1552789_at",0.7,47.1,70.5,53.6,112.5,25,44.1,14.3,15.4,28,24.7,24,91.2,16.5,99.5,74.6,11.5,41.1,32.8,40.4,35,85.3,8.5,0.8,6.7,17.4,19.8,72.3
"1552761_at",39.5,43.2,34.5,35.4,39.8,46.7,34.4,47.1,20.4,16.6,22.4,31.5,62.8,26.9,170.9,107.8,34.8,34.8,48.1,47.4,68,63.4,20.1,15.6,37.5,35.7,64.3,25.8
"1553112_s_at",14.4,51.4,45.6,31.2,73.7,37.8,114.1,25.6,111.3,27.3,45.7,29.4,110.2,43,122.4,66.1,31.2,31.9,46.6,53.1,81.4,48.6,27.3,24.1,17,22.8,32.5,36.3
"1553114_a_at",10,42.2,2.9,9.2,21,10.4,3.7,35.4,2,20.1,3.6,3.9,5.7,3.5,156.8,44.1,38.6,13.7,13.7,11.3,55.3,37.5,2,3.9,1.6,22.2,3.3,17.9
"1553587_a_at",1.2,82.3,123.3,48.2,119.7,66.1,49.7,91.8,78.1,49.8,36.7,35.5,57.9,39.7,88.6,76,19,44.1,36.5,56.3,92.7,82,18.9,24.4,78.5,26.7,79.4,34.3
"1552619_a_at",2.3,8.5,57.3,8.8,42.4,4.4,64.3,13.9,59.7,4,21,1,115.5,21.3,83.5,36.5,19.6,1.5,38.9,1.1,90.2,3,21.4,7.3,29.7,9.6,36.1,9.2
"1553015_a_at",18.5,24.6,60.2,5.6,47.5,20.7,39.9,9.4,57.3,3.5,69.5,44.8,137.7,27,95.2,71.8,43.2,14.4,32.8,12.8,31.8,12.9,39,9.4,36.3,4.7,45.7,15.1
"1552643_at",25.8,43.1,31.7,17,39.3,42.8,42.4,40.7,140.6,26.5,13.9,12.2,25.4,29.2,34.5,18.9,2.4,33.8,111.6,38.6,61.7,37.4,60.4,4.2,38,7.4,43.5,9.6
"1553321_a_at",1.4,23,10.6,5,8.1,7.9,41.9,2.2,114.7,9.3,9.9,4.6,13.4,13.2,1.4,12.9,5.5,13.8,15.1,14.5,91.5,5.3,24.3,20.4,9.4,7.9,97.7,11.5
"1553115_at",46.3,5.1,17.6,3.5,8.8,3.5,10.4,10.5,56.6,2.6,6,9.3,110.9,15.1,100.8,73.8,8.9,3.6,2.2,1.9,19.8,4.3,8.5,8.7,15.6,24.6,5.1,4.8
"1552283_s_at",20.6,53.5,59.7,34,99.1,98.8,21.6,67.6,21.2,48.7,36.6,16.5,119.8,25.7,74.6,61.6,90.1,72.9,17,38.3,65.3,43.3,23.3,23.8,26.4,17.4,68.2,77
