"GeneID","MeanExpression","Variance"
"1552596_at",12.9214285714286,107.730634920635
"1552598_at",5.36428571428571,16.1979365079365
"1552599_at",6.26071428571429,18.8076587301587
"1552602_at",16.1535714285714,65.2796164021164
"1552604_at",5.06428571428571,21.1646031746032
"1552605_s_at",7.29285714285714,31.0821693121693
"1552607_at",16.9392857142857,163.000992063492
"1552608_at",3.71071428571429,10.6261772486772
"1552609_s_at",8.30357142857143,39.9136904761905
"1552610_a_at",173.782142857143,10092.6000396825
"1552611_a_at",127.296428571429,2223.66850529101
"1552612_at",47.7571428571429,745.020317460317
"1552613_s_at",44.0392857142857,1111.81062169312
"1552615_at",133.371428571429,3184.79693121693
"1552616_a_at",48.1428571428571,1417.55735449735
"1552617_a_at",148.342857142857,8347.52105820106
"1552618_at",27.4142857142857,550.093121693122
"1552619_a_at",29,928.697777777778
"1552620_at",36.8964285714286,330.087023809524
"1552621_at",172.542857142857,8710.64994708995
"1552622_s_at",101.992857142857,2375.41772486773
"1552623_at",6.59285714285714,41.2317989417989
"1552625_a_at",43.6178571428571,682.425965608466
"1552626_a_at",24.4428571428571,1528.26624338624
"1552627_a_at",36.3857142857143,497.680529100529
"1552628_a_at",248.071428571429,20518.6147089947
"1552629_a_at",2.37857142857143,9.17063492063492
"1552630_a_at",5.99285714285714,26.6821693121693
"1552631_a_at",14.1535714285714,40.5255423280423
"1552632_a_at",13.6571428571429,85.2899470899471
"1552633_at",27.0607142857143,160.876547619048
"1552634_a_at",20.9964285714286,336.657394179894
"1552637_at",4.44642857142857,16.169246031746
"1552639_at",9.15,50.8737037037037
"1552641_s_at",19.1,233.705925925926
"1552643_at",36.8785714285714,884.154338624339
"1552644_a_at",16.4357142857143,126.814973544974
"1552646_at",47.7,268.083703703704
"1552648_a_at",21.9607142857143,231.106177248677
"1552649_a_at",16.6357142857143,133.360158730159
"1552651_a_at",43.8535714285714,1160.2610978836
"1552652_at",35.9214285714286,188.274338624339
"1552656_s_at",53.1892857142857,2448.55284391534
"1552657_a_at",9.12857142857143,53.6428571428571
"1552658_a_at",24.4178571428571,1673.86966931217
"1552660_a_at",44.2785714285714,991.095079365079
"1552661_at",2.04642857142857,3.5759126984127
"1552662_a_at",5.13928571428571,21.426917989418
"1552663_a_at",36.3642857142857,482.703862433862
"1552664_at",52.4535714285714,512.969986772487
"1552665_at",17.2714285714286,62.8073015873016
"1552666_a_at",3.83214285714286,13.8422619047619
"1552667_a_at",21.5821428571429,171.969669312169
"1552669_at",5.81785714285714,30.3385582010582
"1552670_a_at",120.382142857143,19593.0059656085
"1552671_a_at",4.78928571428571,15.6172883597884
"1552672_a_at",6.49642857142857,36.7766534391534
"1552673_at",5.91428571428571,55.8301587301587
"1552674_at",3.54642857142857,9.25739417989418
"1552675_at",4.27142857142857,12.1258201058201
"1552676_at",25.1535714285714,160.774431216931
"1552677_a_at",10.9428571428571,75.0995767195767
"1552678_a_at",31.0857142857143,304.467195767196
"1552680_a_at",19.7107142857143,254.160992063492
"1552682_a_at",23.9964285714286,198.629246031746
"1552684_a_at",10.5321428571429,40.9467063492064
"1552685_a_at",26.7928571428571,346.200687830688
"1552686_at",5.43214285714286,37.6155952380952
"1552687_a_at",4.85357142857143,45.0485052910053
"1552689_at",6.41071428571429,75.6624735449736
"1552690_a_at",12.3714285714286,59.4761904761905
"1552691_at",11.8178571428571,65.0859656084656
"1552693_at",1.19285714285714,1.70957671957672
"1552694_at",6.9,23.2118518518519
"1552695_a_at",24.3321428571429,147.453373015873
"1552696_at",16.7464285714286,81.3655423280423
"1552698_at",10.4107142857143,43.4935846560847
"1552701_a_at",102.028571428571,4085.93322751323
"1552703_s_at",84.5714285714286,2211.39841269841
"1552705_at",7.075,13.7915740740741
"1552708_a_at",6.14642857142857,22.2988756613757
"1552711_a_at",33.8714285714286,363.97544973545
"1552712_a_at",12.6107142857143,81.8550661375661
"1552713_a_at",10.7642857142857,36.3549735449735
"1552714_at",4.41428571428571,13.2390476190476
"1552715_a_at",5.55,23.3025925925926
"1552716_at",19.3142857142857,385.207195767196
"1552717_s_at",19.0178571428571,273.684484126984
"1552718_at",11.3714285714286,47.0361904761905
"1552719_at",8.675,29.0389814814815
"1552721_a_at",4.95357142857143,30.6588756613757
"1552722_at",3.42857142857143,8.27248677248677
"1552724_at",22.9285714285714,170.733968253968
"1552725_s_at",17.2285714285714,93.9169312169312
"1552726_at",35.4464285714286,2786.50554232804
"1552727_s_at",50.5571428571429,5250.35661375661
"1552729_at",24.7571428571429,203.278835978836
"1552730_at",9.17142857142857,22.431746031746
"1552731_at",1.075,0.960462962962963
"1552732_at",4.54642857142857,10.0240608465608
"1552733_at",39.5357142857143,648.080158730159
"1552734_at",13.1714285714286,48.0184126984127
"1552735_at",26.0571428571429,1248.68994708995
"1552736_a_at",4.07142857142857,12.1361904761905
"1552737_s_at",9.11428571428571,139.319047619048
"1552738_a_at",16.2,68.5807407407407
"1552739_s_at",24.4535714285714,188.385542328042
"1552740_at",2.86785714285714,9.80596560846561
"1552742_at",5.725,13.4115740740741
"1552743_at",7.30714285714286,38.2606878306878
"1552745_at",8.40714285714286,26.3014285714286
"1552747_a_at",4.57857142857143,10.5039682539683
"1552749_a_at",18.4642857142857,273.097936507936
"1552750_at",1.87857142857143,3.9321164021164
"1552751_a_at",10.525,96.0797222222222
"1552752_a_at",8.60357142857143,32.5729497354497
"1552754_a_at",4.86071428571429,12.9024735449735
"1552755_at",3.08571428571429,16.4086772486772
"1552757_s_at",3.17857142857143,7.64248677248677
"1552758_at",8.46785714285714,34.9822619047619
"1552760_at",2.52857142857143,3.96359788359788
"1552761_at",45.55,976.933703703704
"1552763_at",1.77142857142857,6.0984126984127
"1552765_x_at",4.40357142857143,12.2929497354497
"1552766_at",9.625,165.976759259259
"1552767_a_at",49.45,6612.97296296296
"1552768_at",6.98571428571429,34.1916402116402
"1552769_at",11.925,30.1160185185185
"1552770_s_at",30.1928571428571,573.308835978836
"1552771_a_at",1.06071428571429,1.10321428571429
"1552772_at",6.17857142857143,27.3061904761905
"1552773_at",8.53928571428571,51.6832142857143
"1552774_a_at",16.5071428571429,132.018465608466
"1552775_at",4.83928571428571,28.9172883597884
"1552777_a_at",4.01428571428571,6.23089947089947
"1552779_a_at",6.66785714285714,37.6444841269841
"1552782_at",10.4714285714286,34.4035978835979
"1552783_at",4.26785714285714,15.2430026455026
"1552785_at",19.3928571428571,328.965132275132
"1552787_at",11.6964285714286,118.888505291005
"1552788_a_at",11.2535714285714,60.4010978835979
"1552789_at",39.7607142857143,983.697288359788
"1552790_a_at",131.478571428571,5300.22619047619
"1552791_a_at",3.29642857142857,7.8359126984127
"1552792_at",4.40357142857143,17.5062830687831
"1552793_at",4.17142857142857,21.4954497354497
"1552794_a_at",7.26785714285714,29.4481878306878
"1552796_a_at",7.23571428571429,22.4120105820106
"1552797_s_at",11.5178571428571,37.6474470899471
"1552798_a_at",22.0035714285714,255.235171957672
"1552799_at",4.04285714285714,5.42031746031746
"1552800_at",9.13571428571429,89.3586772486773
"1552801_at",2.53571428571429,10.0386772486772
"1552803_a_at",2.91428571428571,11.5975661375661
"1552804_a_at",18.2321428571429,128.128187830688
"1552806_a_at",13.6821428571429,88.5400396825397
"1552807_a_at",38.9107142857143,405.686177248677
"1552808_at",4.38214285714286,12.7755952380952
"1552809_at",4.55,19.9611111111111
"1552811_at",6.93214285714286,29.0978174603175
"1552812_a_at",21.05,109.497407407407
"1552813_at",4.86785714285714,18.9170767195767
"1552814_a_at",3.98214285714286,20.1044841269841
"1552816_at",6.40357142857143,32.3114682539683
